('UGI', 1.4167165684697558e-05)
('CLD5', -1.4157216351455733e-05)
('POAJU', 1.379175772919794e-05)
('CISECGL', 1.3110530538623655e-05)
('UCCONS', -1.3076852593156985e-05)
('PPRBC', -1.246897752704701e-05)
('CICURR', 1.2465695565073986e-05)
('DPACLI', 1.212842963262779e-05)
('SRET', -1.1744640805132212e-05)
('STKCPA', 1.1728360564844387e-05)
('SPIOA', 1.156199161880117e-05)
('TXDI', -1.1255275799981757e-05)
('GDWLIA', 1.1245085668888655e-05)
('DILADJ', -1.1086324778225576e-05)
('ITCB', -1.1036569807089391e-05)
('CIOTHER', 1.1036080356477407e-05)
('TXTUBMAX', -1.077831041853411e-05)
('CIPEN', 1.0772705556633122e-05)
('OPTPRCGR', 1.0039035726272516e-05)
('XNINS', 9.967548545597449e-06)
('PRSTKPC', 9.965925768327683e-06)
('TSTKN', 9.880969124680117e-06)
('CSHRT', 9.824648584606452e-06)
('PSTKR', 9.578320967117138e-06)
('MRC2', -9.548009490434328e-06)
('RDIP', -9.404466958276916e-06)
('UNIAMI', -9.29805122600047e-06)
('FOPT', -9.163376548236568e-06)
('AQA', 9.11218347602119e-06)
('USPI', 9.055468234230035e-06)
('CI', -8.94697234177233e-06)
('XDEPL', 8.65813513228267e-06)
('IBMII', 8.652922504182037e-06)
('PPENLI', 8.399575125491582e-06)
('PPENNR', 8.344829777390001e-06)
('CIBEGNI', 8.331519952498034e-06)
('WDA', -8.303523019417142e-06)
('ibesshrout_p1', -8.264327001406002e-06)
('PBACU', -8.204403975531349e-06)
('PPEVR', 8.131909007946803e-06)
('PCUPSU', 8.05348172323167e-06)
('PI', 7.985960065681752e-06)
('TXACH', -7.836667395982877e-06)
('GLA', 7.621206696169919e-06)
('INVO', -7.40368822975423e-06)
('ACQIC', -7.371920175931228e-06)
('TXDITC', 7.338807567425221e-06)
('GLP', -7.262337279302644e-06)
('WDP', 7.1817461571518915e-06)
('csho', 7.0763371272652975e-06)
('FINXOPR', -6.938585620619442e-06)
('UPSTKSF', 6.798833115619215e-06)
('TXR', -6.467322693212013e-06)
('CSHPRI', 6.398617467207046e-06)
('PSTK', -6.1541761438022036e-06)
('AQP', -6.127183141364789e-06)
('XNBI', 6.080786616458056e-06)
('GLIV', -6.019374662123711e-06)
('PLL', 5.949140725179658e-06)
('UPMCSTK', -5.784717187977406e-06)
('TXDB', -5.618795961837009e-06)
('CITOTAL', -5.53921246226885e-06)
('ESUBC', -5.330711444428982e-06)
('PBVNU', 5.322514827987845e-06)
('XUW', 5.03243316896107e-06)
('XINST', -4.942424819489666e-06)
('UXINST', -4.938553997768788e-06)
('SPCE', 4.894844589653502e-06)
('First_Date', -4.868773707700225e-06)
('IPTI', -4.829091594160673e-06)
('FINREV', 4.770101147300032e-06)
('TXNDBR', -4.695989793871154e-06)
('DERHEDGL', -4.666931124708978e-06)
('LIFR', -4.644811870097021e-06)
('PSTKN', 4.641519947057304e-06)
('URECT', 4.636829532889131e-06)
('PPENB', -4.635857321577674e-06)
('PPENC', 4.603039667316899e-06)
('USUBPSTK', -4.5766782934006725e-06)
('DPACB', 4.457613577063535e-06)
('UDFCC', 4.44392570901595e-06)
('FINLCO', 4.421460348590089e-06)
('UAOLOCH', -4.3713217710052155e-06)
('TXDFED', 4.344488327041873e-06)
('DONR', 4.278023383250118e-06)
('SETA', 4.268334409619767e-06)
('ESOPNR', -4.225915558261212e-06)
('PNRSHO', -4.1543288856731725e-06)
('XINTD', 4.12780330287521e-06)
('XINT', 4.107220629552544e-06)
('TXFO', -4.05822834347036e-06)
('EMP', 3.971102644877156e-06)
('MRC3', 3.952620524577677e-06)
('RCA', 3.93248972020005e-06)
('TXDC', 3.894216351080226e-06)
('CSHI', -3.8814366398742806e-06)
('DBI', 3.87527046202818e-06)
('TXT', -3.866947119623987e-06)
('XPP', 3.8546618286727785e-06)
('CIMII', 3.839282276485445e-06)
